tipo_post;post_id;post_link;link;link_domain
link;71339054219_10152219212209220;https://www.facebook.com/71339054219/posts/10152219212209220;http://www.lanacion.com.ar/1704071-intento-de-robo-y-corridas-en-el-mc-donalds-del-alto-palermo?utm_source=FB&utm_medium=Parti&utm_campaign=1704071;lanacion.com.ar
link;71339054219_10152219364464220;https://www.facebook.com/71339054219/posts/10152219364464220;http://www.lanacion.com.ar/1703934-estos-son-los-26-modelos-de-vehiculos-que-se-pueden-comprar-con-el-procreauto?utm_source=FB&utm_medium=Parti&utm_campaign=1703934;lanacion.com.ar
link;71339054219_10152219526729220;https://www.facebook.com/71339054219/posts/10152219526729220;http://www.lanacion.com.ar/1703970-cinco-hermanos-buscan-una-familia-que-los-adopte-juntos?utm_source=FB&utm_medium=Parti&utm_campaign=1703970;lanacion.com.ar
link;71339054219_10152219790124220;https://www.facebook.com/71339054219/posts/10152219790124220;http://canchallena.lanacion.com.ar/1703912-en-vivo-italia-uruguay-mundial-brasil-2014?utm_source=FB-LN&utm_medium=Cali&utm_campaign=1703912;canchallena.lanacion.com.ar
link;71339054219_10152219882484220;https://www.facebook.com/71339054219/posts/10152219882484220;http://canchallena.lanacion.com.ar/1704135-insolito-luis-suarez-le-mordio-el-hombro-a-chiellini-un-minuto-antes-del-gol-de-uruguay?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704135;canchallena.lanacion.com.ar
link;71339054219_10152220015179220;https://www.facebook.com/71339054219/posts/10152220015179220;http://www.lanacion.com.ar/1703878-como-se-verian-las-pinturas-clasicas-si-estuvieran-retocadas-en-base-a-los-estandares-esteticos-actuales?utm_source=FB&utm_medium=Parti&utm_campaign=1703878;lanacion.com.ar
link;71339054219_10152220025014220;https://www.facebook.com/71339054219/posts/10152220025014220;http://www.lanacion.com.ar/1704146-un-joven-en-grave-estado-tras-participar-de-un-cruce-de-brasas-en-misiones?utm_source=FB&utm_medium=Parti&utm_campaign=1704146;lanacion.com.ar
link;71339054219_10152220028004220;https://www.facebook.com/71339054219/posts/10152220028004220;http://www.lanacion.com.ar/1703098-5-ejemplos-del-uso-eficiente-del-tiempomientras-todos-miran-el-mundial?utm_source=FB&utm_medium=Parti&utm_campaign=1703098;lanacion.com.ar
link;71339054219_10152221234479220;https://www.facebook.com/71339054219/posts/10152221234479220;http://canchallena.lanacion.com.ar/1704374-la-mordida-de-luis-suarez-en-las-portadas-de-los-diarios-de-inglaterra-e-italia?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704374;canchallena.lanacion.com.ar
link;71339054219_10152221330674220;https://www.facebook.com/71339054219/posts/10152221330674220;http://www.lanacion.com.ar/1704364-bolivia-da-vuelta-el-reloj-las-agujas-giran-a-la-izquierda-y-los-numeros-estan-invertidos?utm_source=FB&utm_medium=Parti&utm_campaign=1704364;lanacion.com.ar
link;71339054219_10152221415824220;https://www.facebook.com/71339054219/posts/10152221415824220;http://canchallena.lanacion.com.ar/1704398-el-papa-francisco-atajo-una-camiseta-argentina-en-el-vaticano?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704398;canchallena.lanacion.com.ar
link;71339054219_10152221550359220;https://www.facebook.com/71339054219/posts/10152221550359220;http://www.lanacion.com.ar/1704414-explosion-en-nigeria-deja-al-menos-13-muertos?utm_source=FB&utm_medium=Cali&utm_campaign=1704414;lanacion.com.ar
photo;71339054219_10152221676089220;https://www.facebook.com/71339054219/posts/10152221676089220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10152221673319220/?type=3;facebook.com
link;71339054219_10152221708479220;https://www.facebook.com/71339054219/posts/10152221708479220;http://canchallena.lanacion.com.ar/1704425-la-broma-del-pocho-lavezzi-que-estallo-en-las-redes-sociales?utm_source=FB-LN&utm_medium=Parti-LN&utm_campaign=1704425;canchallena.lanacion.com.ar
link;71339054219_10152221909174220;https://www.facebook.com/71339054219/posts/10152221909174220;http://personajes.lanacion.com.ar/1704429-copa-del-mundo-el-pocho-lavezzi-no-siempre-fue-un-potro?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704429;personajes.lanacion.com.ar
link;71339054219_10152221923629220;https://www.facebook.com/71339054219/posts/10152221923629220;http://www.lanacion.com.ar/1704313-el-matematico-argentino-miguel-walsh-de-26-anos-gano-el-premio-ramanujan?utm_source=fb&utm_medium=publi&utm_campaign=1704313;lanacion.com.ar
link;71339054219_10152221930599220;https://www.facebook.com/71339054219/posts/10152221930599220;http://www.lanacion.com.ar/1704240-plaza-roma-renace-el-ombu?utm_source=FB&utm_medium=Parti&utm_campaign=1704240;lanacion.com.ar
link;71339054219_10152223097309220;https://www.facebook.com/71339054219/posts/10152223097309220;http://www.lanacion.com.ar/1704465-un-mensaje-en-una-prenda-saco-a-la-luz-un-caso-de-explotacion-laboral?utm_source=FB&utm_medium=Parti&utm_campaign=1704465;lanacion.com.ar
link;71339054219_10152223145589220;https://www.facebook.com/71339054219/posts/10152223145589220;http://canchallena.lanacion.com.ar/1704715-las-bromas-una-costumbre-del-pocho-lavezzi?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704715;canchallena.lanacion.com.ar
link;71339054219_10152223290729220;https://www.facebook.com/71339054219/posts/10152223290729220;http://canchallena.lanacion.com.ar/1704721-sancion-suarez-mundial-brasil-2014?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704721;canchallena.lanacion.com.ar
link;71339054219_10152223478334220;https://www.facebook.com/71339054219/posts/10152223478334220;http://www.lanacion.com.ar/1704747-el-juez-thomas-griesa-rechazo-la-cautelar-solicitada-por-la-argentina?utm_source=FB&utm_medium=Cali&utm_campaign=1704747;lanacion.com.ar
link;71339054219_10152223684934220;https://www.facebook.com/71339054219/posts/10152223684934220;http://canchallena.lanacion.com.ar/1704711-el-fan-numero-uno-de-lionel-messi-el-arquero-de-nigeria?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704711;canchallena.lanacion.com.ar
link;71339054219_10152223779354220;https://www.facebook.com/71339054219/posts/10152223779354220;http://canchallena.lanacion.com.ar/1704537-el-album-de-fotos-de-ezequiel-lavezzi-el-sex-symbol-de-la-seleccion-en-el-mundial-brasil-2014?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704537;canchallena.lanacion.com.ar
link;71339054219_10152223785664220;https://www.facebook.com/71339054219/posts/10152223785664220;http://www.lanacion.com.ar/1704759-una-imagen-y-26-maneras-diferentes-de-definir-la-belleza?utm_source=FB&utm_medium=Parti&utm_campaign=1704759;lanacion.com.ar
link;71339054219_10152225135094220;https://www.facebook.com/71339054219/posts/10152225135094220;http://canchallena.lanacion.com.ar/1704831-drogba-jesica-cirio-y-un-serio-rival-para-lavezzi?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704831;canchallena.lanacion.com.ar
link;71339054219_10152225440189220;https://www.facebook.com/71339054219/posts/10152225440189220;http://canchallena.lanacion.com.ar/1705081-giorgio-chiellini-el-italiano-mordido-la-sancion-a-luis-suarez-es-excesiva?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1705081;canchallena.lanacion.com.ar
link;71339054219_10152225523304220;https://www.facebook.com/71339054219/posts/10152225523304220;http://www.lanacion.com.ar/1705068-la-argentina-y-los-fondos-buitre-frente-a-frente-ante-el-juez-thomas-griesa?utm_source=TW&utm_medium=Cali&utm_campaign=1705068;lanacion.com.ar
link;71339054219_10152225790814220;https://www.facebook.com/71339054219/posts/10152225790814220;http://canchallena.lanacion.com.ar/1704860-a-que-velocidad-corre-angel-di-maria-y-otras-estadisticas-curiosas-de-la-seleccion?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704860;canchallena.lanacion.com.ar
link;71339054219_10152225887184220;https://www.facebook.com/71339054219/posts/10152225887184220;http://www.lanacion.com.ar/1704158-drones-para-pizza-en-rusia-si-para-cajas-de-amazon-no?utm_source=FB&utm_medium=Parti&utm_campaign=1704158;lanacion.com.ar
link;71339054219_10152225895239220;https://www.facebook.com/71339054219/posts/10152225895239220;http://canchallena.lanacion.com.ar/1704835-los-octavos-de-final-coinciden-con-el-ramadan-y-seis-selecciones-estan-ante-el-dilema-del-ayuno?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1704835;canchallena.lanacion.com.ar
link;71339054219_10152225901669220;https://www.facebook.com/71339054219/posts/10152225901669220;http://www.lanacion.com.ar/1704205-berlin-construye-la-primera-iglesia-mezquita-sinagoga?utm_source=FB&utm_medium=Parti&utm_campaign=1704205;lanacion.com.ar
link;71339054219_10152225907864220;https://www.facebook.com/71339054219/posts/10152225907864220;http://www.lanacion.com.ar/1704508-en-fotos-la-increible-transformacion-de-elsa-rhae-utilizando-solo-maquillaje?utm_source=FB&utm_medium=Parti&utm_campaign=1704508;lanacion.com.ar
link;71339054219_10152225910684220;https://www.facebook.com/71339054219/posts/10152225910684220;http://www.lanacion.com.ar/1704474-los-impresionantes-edificios-bajo-tierra-en-ciudad-de-mexico?utm_source=FB&utm_medium=Parti&utm_campaign=1704474;lanacion.com.ar
